mes,area,subarea,tipo_programa,actividad,programado,ejecutado,responsable
Enero,GENERAL,GENERAL,Salud ocupacional,Evaluación de riesgo psicosocial,3,1,Supervisor de área
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Evaluación de riesgo psicosocial,2,2,Supervisor de área
Enero,HONDA MOTOS,HONDA MOTOS,Salud ocupacional,Evaluación de riesgo psicosocial,2,1,CSST
Enero,CORPORATIVO,ALMACEN,Salud ocupacional,Evaluación de riesgo psicosocial,1,1,Jefe de SST
Enero,HONDA AUTOS,POSVENTA,Monitoreos ocupacionales,Monitoreo de ruido,4,4,Jefe de SST
Enero,CORPORATIVO,MARKETING,Monitoreos ocupacionales,Monitoreo de ruido,1,0,Médico ocupacional
Enero,CORPORATIVO,ALMACEN,Monitoreos ocupacionales,Monitoreo de ruido,3,2,Supervisor de área
Enero,HONDA AUTOS,OPERACIONES,Monitoreos ocupacionales,Monitoreo de ruido,3,3,Médico ocupacional
Enero,HONDA AUTOS,OPERACIONES,Monitoreos ocupacionales,Monitoreo de agentes químicos,1,1,CSST
Enero,HONDA AUTOS,POSVENTA,Monitoreos ocupacionales,Monitoreo de agentes químicos,3,2,CSST
Enero,GENERAL,GENERAL,Monitoreos ocupacionales,Monitoreo de agentes químicos,2,2,CSST
Enero,HONDA MOTOS,HONDA MOTOS,Monitoreos ocupacionales,Monitoreo de agentes químicos,2,2,Supervisor de área
Enero,HONDA AUTOS,VENTAS,Monitoreos ocupacionales,Evaluación ergonómica de puestos,4,4,Supervisor de área
Enero,HONDA AUTOS,OPERACIONES,Monitoreos ocupacionales,Evaluación ergonómica de puestos,2,1,Jefe de SST
Enero,HONDA MOTOS,HONDA MOTOS,Monitoreos ocupacionales,Evaluación ergonómica de puestos,1,1,Jefe de SST
Enero,GENERAL,GENERAL,Monitoreos ocupacionales,Evaluación ergonómica de puestos,2,1,Jefe de SST
Enero,CORPORATIVO,ALMACEN,Observaciones preventivas,Observación preventiva de conducta,2,2,Supervisor de área
Enero,HONDA AUTOS,VENTAS,Observaciones preventivas,Observación preventiva de conducta,4,4,Médico ocupacional
Enero,HONDA AUTOS,OPERACIONES,Observaciones preventivas,Observación preventiva de conducta,2,2,Supervisor de área
Enero,CORPORATIVO,MARKETING,Observaciones preventivas,Observación preventiva de conducta,1,0,Médico ocupacional
Enero,HONDA AUTOS,OPERACIONES,Observaciones preventivas,Reporte de actos y condiciones inseguras,1,0,Supervisor de área
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,Observaciones preventivas,Reporte de actos y condiciones inseguras,1,1,Jefe de SST
Enero,CORPORATIVO,ALMACEN,Observaciones preventivas,Reporte de actos y condiciones inseguras,2,0,CSST
Enero,CORPORATIVO,MARKETING,Observaciones preventivas,Reporte de actos y condiciones inseguras,1,0,Médico ocupacional
Febrero,HONDA AUTOS,VENTAS,Inspecciones,Inspección planeada de taller,2,1,CSST
Febrero,CORPORATIVO,MARKETING,Inspecciones,Inspección planeada de taller,1,0,Jefe de SST
Febrero,GENERAL,GENERAL,Inspecciones,Inspección planeada de taller,1,0,Jefe de SST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección planeada de taller,4,4,Jefe de SST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección de equipos de emergencia,2,0,Médico ocupacional
Febrero,HONDA AUTOS,POSVENTA,Inspecciones,Inspección de equipos de emergencia,4,3,Jefe de SST
Febrero,CORPORATIVO,MARKETING,Inspecciones,Inspección de equipos de emergencia,4,2,CSST
Febrero,CORPORATIVO,ALMACEN,Inspecciones,Inspección de equipos de emergencia,1,0,Supervisor de área
Febrero,HONDA AUTOS,POSVENTA,Inspecciones,Inspección preoperacional de montacargas,3,1,CSST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección preoperacional de montacargas,2,2,Médico ocupacional
Febrero,GENERAL,GENERAL,Inspecciones,Inspección preoperacional de montacargas,1,0,CSST
Febrero,HONDA AUTOS,OPERACIONES,Inspecciones,Inspección preoperacional de montacargas,1,0,Supervisor de área
Febrero,GENERAL,GENERAL,Capacitación,Ejecución del programa anual de capacitación,3,2,Médico ocupacional
Febrero,HONDA AUTOS,OPERACIONES,Capacitación,Ejecución del programa anual de capacitación,4,4,Supervisor de área
Febrero,CORPORATIVO,MARKETING,Capacitación,Ejecución del programa anual de capacitación,3,3,Médico ocupacional
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Capacitación,Ejecución del programa anual de capacitación,1,1,Médico ocupacional
Febrero,HONDA AUTOS,POSVENTA,Simulacros,Simulacro de sismo,3,2,Supervisor de área
Febrero,CORPORATIVO,ALMACEN,Simulacros,Simulacro de sismo,2,2,Jefe de SST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Simulacros,Simulacro de sismo,2,0,CSST
Febrero,HONDA MOTOS,HONDA MOTOS,Simulacros,Simulacro de sismo,3,3,CSST
Febrero,HONDA AUTOS,POSVENTA,Simulacros,Simulacro de incendio en taller,4,3,Médico ocupacional
Febrero,CORPORATIVO,MARKETING,Simulacros,Simulacro de incendio en taller,1,1,Jefe de SST
Febrero,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de incendio en taller,4,2,Médico ocupacional
Febrero,GENERAL,GENERAL,Simulacros,Simulacro de incendio en taller,4,4,Supervisor de área
Febrero,CORPORATIVO,ALMACEN,Simulacros,Simulacro de derrame de sustancias peligrosas,1,1,Jefe de SST
Febrero,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de derrame de sustancias peligrosas,3,3,Médico ocupacional
Febrero,HONDA MOTOS,HONDA MOTOS,Simulacros,Simulacro de derrame de sustancias peligrosas,1,1,Jefe de SST
Febrero,GENERAL,GENERAL,Simulacros,Simulacro de derrame de sustancias peligrosas,3,3,CSST
Febrero,HONDA AUTOS,POSVENTA,Salud ocupacional,Exámenes médicos ocupacionales,1,1,Médico ocupacional
Febrero,HONDA MOTOS,HONDA MOTOS,Salud ocupacional,Exámenes médicos ocupacionales,3,3,CSST
Febrero,CORPORATIVO,ALMACEN,Salud ocupacional,Exámenes médicos ocupacionales,1,1,CSST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Exámenes médicos ocupacionales,2,2,CSST
Febrero,CORPORATIVO,ALMACEN,Salud ocupacional,Campaña de pausas activas,3,2,Jefe de SST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Campaña de pausas activas,4,3,Supervisor de área
Febrero,HONDA AUTOS,OPERACIONES,Salud ocupacional,Campaña de pausas activas,1,1,Médico ocupacional
Febrero,HONDA AUTOS,POSVENTA,Salud ocupacional,Campaña de pausas activas,4,3,Supervisor de área
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Evaluación de riesgo psicosocial,2,2,Médico ocupacional
Febrero,HONDA MOTOS,HONDA MOTOS,Salud ocupacional,Evaluación de riesgo psicosocial,4,4,CSST
Febrero,HONDA AUTOS,VENTAS,Salud ocupacional,Evaluación de riesgo psicosocial,3,3,CSST
Febrero,GENERAL,GENERAL,Salud ocupacional,Evaluación de riesgo psicosocial,4,2,Supervisor de área
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Monitoreos ocupacionales,Monitoreo de ruido,1,1,Supervisor de área
Febrero,HONDA MOTOS,HONDA MOTOS,Monitoreos ocupacionales,Monitoreo de ruido,1,1,Médico ocupacional
Febrero,GENERAL,GENERAL,Monitoreos ocupacionales,Monitoreo de ruido,2,1,CSST
Febrero,CORPORATIVO,ALMACEN,Monitoreos ocupacionales,Monitoreo de ruido,4,3,Supervisor de área
Febrero,HONDA MOTOS,HONDA MOTOS,Monitoreos ocupacionales,Monitoreo de agentes químicos,3,2,Jefe de SST
Febrero,HONDA AUTOS,POSVENTA,Monitoreos ocupacionales,Monitoreo de agentes químicos,3,3,CSST
Febrero,HONDA AUTOS,VENTAS,Monitoreos ocupacionales,Monitoreo de agentes químicos,3,2,Supervisor de área
Febrero,CORPORATIVO,ALMACEN,Monitoreos ocupacionales,Monitoreo de agentes químicos,1,0,Médico ocupacional
Febrero,CORPORATIVO,ALMACEN,Monitoreos ocupacionales,Evaluación ergonómica de puestos,2,1,CSST
Febrero,HONDA MOTOS,HONDA MOTOS,Monitoreos ocupacionales,Evaluación ergonómica de puestos,3,3,Médico ocupacional
Febrero,CORPORATIVO,MARKETING,Monitoreos ocupacionales,Evaluación ergonómica de puestos,3,2,CSST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Monitoreos ocupacionales,Evaluación ergonómica de puestos,2,0,Supervisor de área
Febrero,HONDA AUTOS,POSVENTA,Observaciones preventivas,Observación preventiva de conducta,4,2,Médico ocupacional
Febrero,HONDA AUTOS,OPERACIONES,Observaciones preventivas,Observación preventiva de conducta,4,4,Jefe de SST
Febrero,GENERAL,GENERAL,Observaciones preventivas,Observación preventiva de conducta,2,2,Médico ocupacional
Febrero,HONDA MOTOS,HONDA MOTOS,Observaciones preventivas,Observación preventiva de conducta,4,3,Médico ocupacional
Febrero,HONDA AUTOS,VENTAS,Observaciones preventivas,Reporte de actos y condiciones inseguras,4,3,Supervisor de área
Febrero,GENERAL,GENERAL,Observaciones preventivas,Reporte de actos y condiciones inseguras,1,1,Supervisor de área
Febrero,HONDA MOTOS,HONDA MOTOS,Observaciones preventivas,Reporte de actos y condiciones inseguras,2,1,Jefe de SST
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Observaciones preventivas,Reporte de actos y condiciones inseguras,4,4,Jefe de SST
Marzo,HONDA AUTOS,VENTAS,Inspecciones,Inspección planeada de taller,1,0,CSST
Marzo,CORPORATIVO,ALMACEN,Inspecciones,Inspección planeada de taller,2,0,CSST
Marzo,HONDA AUTOS,POSVENTA,Inspecciones,Inspección planeada de taller,4,2,Jefe de SST
Marzo,CORPORATIVO,MARKETING,Inspecciones,Inspección planeada de taller,1,1,CSST
Marzo,HONDA MOTOS,HONDA MOTOS,Inspecciones,Inspección de equipos de emergencia,1,1,CSST
Marzo,GENERAL,GENERAL,Inspecciones,Inspección de equipos de emergencia,4,4,CSST
Marzo,HONDA AUTOS,OPERACIONES,Inspecciones,Inspección de equipos de emergencia,2,1,Supervisor de área
Marzo,HONDA AUTOS,POSVENTA,Inspecciones,Inspección de equipos de emergencia,2,2,Médico ocupacional
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección preoperacional de montacargas,4,2,Médico ocupacional
Marzo,HONDA AUTOS,VENTAS,Inspecciones,Inspección preoperacional de montacargas,1,1,Supervisor de área
Marzo,CORPORATIVO,ALMACEN,Inspecciones,Inspección preoperacional de montacargas,4,4,Supervisor de área
Marzo,HONDA AUTOS,POSVENTA,Inspecciones,Inspección preoperacional de montacargas,4,4,CSST
Marzo,CORPORATIVO,ALMACEN,Capacitación,Ejecución del programa anual de capacitación,2,2,CSST
Marzo,HONDA AUTOS,OPERACIONES,Capacitación,Ejecución del programa anual de capacitación,1,1,Médico ocupacional
Marzo,CORPORATIVO,MARKETING,Capacitación,Ejecución del programa anual de capacitación,2,2,Supervisor de área
Marzo,HONDA MOTOS,HONDA MOTOS,Capacitación,Ejecución del programa anual de capacitación,2,1,Supervisor de área
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Simulacros,Simulacro de sismo,4,3,Supervisor de área
Marzo,CORPORATIVO,ALMACEN,Simulacros,Simulacro de sismo,2,1,Médico ocupacional
Marzo,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de sismo,1,0,Supervisor de área
Marzo,HONDA AUTOS,VENTAS,Simulacros,Simulacro de sismo,4,4,Supervisor de área
Marzo,HONDA AUTOS,VENTAS,Simulacros,Simulacro de incendio en taller,1,0,Jefe de SST
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Simulacros,Simulacro de incendio en taller,2,1,Médico ocupacional
Marzo,HONDA AUTOS,POSVENTA,Simulacros,Simulacro de incendio en taller,3,1,Jefe de SST
Marzo,HONDA MOTOS,HONDA MOTOS,Simulacros,Simulacro de incendio en taller,1,1,CSST
Marzo,HONDA MOTOS,HONDA MOTOS,Simulacros,Simulacro de derrame de sustancias peligrosas,4,4,CSST
Marzo,HONDA AUTOS,POSVENTA,Simulacros,Simulacro de derrame de sustancias peligrosas,4,4,CSST
Marzo,CORPORATIVO,MARKETING,Simulacros,Simulacro de derrame de sustancias peligrosas,4,4,Jefe de SST
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Simulacros,Simulacro de derrame de sustancias peligrosas,1,1,CSST
Marzo,HONDA AUTOS,POSVENTA,Salud ocupacional,Exámenes médicos ocupacionales,2,1,CSST
Marzo,HONDA AUTOS,OPERACIONES,Salud ocupacional,Exámenes médicos ocupacionales,3,2,Jefe de SST
Marzo,HONDA MOTOS,HONDA MOTOS,Salud ocupacional,Exámenes médicos ocupacionales,1,0,Médico ocupacional
Marzo,HONDA AUTOS,VENTAS,Salud ocupacional,Exámenes médicos ocupacionales,2,2,Médico ocupacional
Marzo,HONDA MOTOS,HONDA MOTOS,Salud ocupacional,Campaña de pausas activas,1,0,Médico ocupacional
Marzo,HONDA AUTOS,OPERACIONES,Salud ocupacional,Campaña de pausas activas,2,0,Médico ocupacional
Marzo,CORPORATIVO,ALMACEN,Salud ocupacional,Campaña de pausas activas,1,0,Jefe de SST
Marzo,GENERAL,GENERAL,Salud ocupacional,Campaña de pausas activas,4,4,Jefe de SST
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Evaluación de riesgo psicosocial,3,3,CSST
Marzo,HONDA AUTOS,POSVENTA,Salud ocupacional,Evaluación de riesgo psicosocial,3,2,Jefe de SST
Marzo,CORPORATIVO,MARKETING,Salud ocupacional,Evaluación de riesgo psicosocial,3,1,CSST
Marzo,HONDA AUTOS,VENTAS,Salud ocupacional,Evaluación de riesgo psicosocial,3,3,Jefe de SST
Marzo,HONDA AUTOS,POSVENTA,Monitoreos ocupacionales,Monitoreo de ruido,4,2,Médico ocupacional
Marzo,HONDA AUTOS,VENTAS,Monitoreos ocupacionales,Monitoreo de ruido,4,4,Médico ocupacional
Marzo,GENERAL,GENERAL,Monitoreos ocupacionales,Monitoreo de ruido,4,4,Médico ocupacional
Marzo,CORPORATIVO,ALMACEN,Monitoreos ocupacionales,Monitoreo de ruido,2,2,CSST
Marzo,HONDA AUTOS,OPERACIONES,Monitoreos ocupacionales,Monitoreo de agentes químicos,3,2,CSST
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Monitoreos ocupacionales,Monitoreo de agentes químicos,1,0,Supervisor de área
Marzo,HONDA AUTOS,POSVENTA,Monitoreos ocupacionales,Monitoreo de agentes químicos,4,4,Supervisor de área
Marzo,GENERAL,GENERAL,Monitoreos ocupacionales,Monitoreo de agentes químicos,4,4,Jefe de SST
Marzo,GENERAL,GENERAL,Monitoreos ocupacionales,Evaluación ergonómica de puestos,2,1,Jefe de SST
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Monitoreos ocupacionales,Evaluación ergonómica de puestos,1,1,Jefe de SST
Marzo,CORPORATIVO,ALMACEN,Monitoreos ocupacionales,Evaluación ergonómica de puestos,2,2,Médico ocupacional
Marzo,HONDA AUTOS,OPERACIONES,Monitoreos ocupacionales,Evaluación ergonómica de puestos,4,2,Médico ocupacional
Marzo,HONDA AUTOS,OPERACIONES,Observaciones preventivas,Observación preventiva de conducta,4,3,Supervisor de área
Marzo,HONDA AUTOS,POSVENTA,Observaciones preventivas,Observación preventiva de conducta,1,1,CSST
Marzo,CORPORATIVO,ALMACEN,Observaciones preventivas,Observación preventiva de conducta,3,2,CSST
Marzo,HONDA MOTOS,HONDA MOTOS,Observaciones preventivas,Observación preventiva de conducta,3,3,CSST
Marzo,HONDA MOTOS,HONDA MOTOS,Observaciones preventivas,Reporte de actos y condiciones inseguras,2,2,Supervisor de área
Marzo,GENERAL,GENERAL,Observaciones preventivas,Reporte de actos y condiciones inseguras,3,2,Supervisor de área
Marzo,HONDA AUTOS,POSVENTA,Observaciones preventivas,Reporte de actos y condiciones inseguras,3,3,Médico ocupacional
Marzo,CORPORATIVO,MARKETING,Observaciones preventivas,Reporte de actos y condiciones inseguras,3,3,Supervisor de área
Abril,HONDA AUTOS,POSVENTA,Inspecciones,Inspección planeada de taller,1,1,Médico ocupacional
Abril,CORPORATIVO,MARKETING,Inspecciones,Inspección planeada de taller,2,1,CSST
Abril,HONDA MOTOS,HONDA MOTOS,Inspecciones,Inspección planeada de taller,1,1,Supervisor de área
Abril,HONDA AUTOS,VENTAS,Inspecciones,Inspección planeada de taller,1,1,Supervisor de área
Abril,HONDA MOTOS,HONDA MOTOS,Inspecciones,Inspección de equipos de emergencia,2,1,CSST
Abril,HONDA AUTOS,VENTAS,Inspecciones,Inspección de equipos de emergencia,1,1,CSST
Abril,HONDA AUTOS,OPERACIONES,Inspecciones,Inspección de equipos de emergencia,2,2,CSST
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección de equipos de emergencia,3,3,Jefe de SST
Abril,HONDA MOTOS,HONDA MOTOS,Inspecciones,Inspección preoperacional de montacargas,2,2,CSST
Abril,HONDA AUTOS,OPERACIONES,Inspecciones,Inspección preoperacional de montacargas,4,2,CSST
Abril,HONDA AUTOS,VENTAS,Inspecciones,Inspección preoperacional de montacargas,2,1,CSST
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección preoperacional de montacargas,1,1,Jefe de SST
Abril,GENERAL,GENERAL,Capacitación,Ejecución del programa anual de capacitación,4,4,Médico ocupacional
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Capacitación,Ejecución del programa anual de capacitación,2,0,Jefe de SST
Abril,HONDA MOTOS,HONDA MOTOS,Capacitación,Ejecución del programa anual de capacitación,2,1,CSST
Abril,HONDA AUTOS,VENTAS,Capacitación,Ejecución del programa anual de capacitación,4,4,CSST
Abril,CORPORATIVO,ALMACEN,Simulacros,Simulacro de sismo,3,2,Médico ocupacional
Abril,HONDA AUTOS,VENTAS,Simulacros,Simulacro de sismo,1,1,Supervisor de área
Abril,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de sismo,4,2,Médico ocupacional
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Simulacros,Simulacro de sismo,2,2,Médico ocupacional
Abril,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de incendio en taller,4,3,CSST
Abril,HONDA MOTOS,HONDA MOTOS,Simulacros,Simulacro de incendio en taller,4,4,Supervisor de área
Abril,HONDA AUTOS,VENTAS,Simulacros,Simulacro de incendio en taller,1,1,Supervisor de área
Abril,CORPORATIVO,MARKETING,Simulacros,Simulacro de incendio en taller,4,4,CSST
Abril,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de derrame de sustancias peligrosas,2,1,Supervisor de área
Abril,HONDA AUTOS,POSVENTA,Simulacros,Simulacro de derrame de sustancias peligrosas,1,1,Médico ocupacional
Abril,GENERAL,GENERAL,Simulacros,Simulacro de derrame de sustancias peligrosas,4,4,CSST
Abril,CORPORATIVO,MARKETING,Simulacros,Simulacro de derrame de sustancias peligrosas,2,2,Médico ocupacional
Abril,CORPORATIVO,MARKETING,Salud ocupacional,Exámenes médicos ocupacionales,1,0,Supervisor de área
Abril,HONDA AUTOS,VENTAS,Salud ocupacional,Exámenes médicos ocupacionales,2,1,Médico ocupacional
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Exámenes médicos ocupacionales,2,1,Supervisor de área
Abril,HONDA MOTOS,HONDA MOTOS,Salud ocupacional,Exámenes médicos ocupacionales,2,2,Médico ocupacional
Abril,HONDA AUTOS,OPERACIONES,Salud ocupacional,Campaña de pausas activas,2,2,Supervisor de área
Abril,HONDA MOTOS,HONDA MOTOS,Salud ocupacional,Campaña de pausas activas,1,0,Jefe de SST
Abril,GENERAL,GENERAL,Salud ocupacional,Campaña de pausas activas,3,3,Médico ocupacional
Abril,HONDA AUTOS,VENTAS,Salud ocupacional,Campaña de pausas activas,4,3,CSST
Abril,CORPORATIVO,ALMACEN,Salud ocupacional,Evaluación de riesgo psicosocial,4,3,CSST
Abril,HONDA AUTOS,OPERACIONES,Salud ocupacional,Evaluación de riesgo psicosocial,4,3,Médico ocupacional
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Evaluación de riesgo psicosocial,2,2,Jefe de SST
Abril,HONDA AUTOS,POSVENTA,Salud ocupacional,Evaluación de riesgo psicosocial,4,3,Supervisor de área
Abril,GENERAL,GENERAL,Monitoreos ocupacionales,Monitoreo de ruido,2,1,Médico ocupacional
Abril,CORPORATIVO,ALMACEN,Monitoreos ocupacionales,Monitoreo de ruido,1,1,Supervisor de área
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Monitoreos ocupacionales,Monitoreo de ruido,3,2,CSST
Abril,HONDA MOTOS,HONDA MOTOS,Monitoreos ocupacionales,Monitoreo de ruido,1,0,Jefe de SST
Abril,HONDA AUTOS,VENTAS,Monitoreos ocupacionales,Monitoreo de agentes químicos,3,1,Jefe de SST
Abril,CORPORATIVO,MARKETING,Monitoreos ocupacionales,Monitoreo de agentes químicos,1,0,Médico ocupacional
Abril,HONDA AUTOS,POSVENTA,Monitoreos ocupacionales,Monitoreo de agentes químicos,2,2,Jefe de SST
Abril,GENERAL,GENERAL,Monitoreos ocupacionales,Monitoreo de agentes químicos,1,1,Supervisor de área
Abril,GENERAL,GENERAL,Monitoreos ocupacionales,Evaluación ergonómica de puestos,1,1,CSST
Abril,HONDA AUTOS,OPERACIONES,Monitoreos ocupacionales,Evaluación ergonómica de puestos,2,2,CSST
Abril,HONDA AUTOS,POSVENTA,Monitoreos ocupacionales,Evaluación ergonómica de puestos,4,4,CSST
Abril,CORPORATIVO,MARKETING,Monitoreos ocupacionales,Evaluación ergonómica de puestos,4,4,CSST
Abril,HONDA MOTOS,HONDA MOTOS,Observaciones preventivas,Observación preventiva de conducta,2,2,Médico ocupacional
Abril,HONDA AUTOS,OPERACIONES,Observaciones preventivas,Observación preventiva de conducta,2,0,CSST
Abril,CORPORATIVO,ALMACEN,Observaciones preventivas,Observación preventiva de conducta,3,2,Supervisor de área
Abril,HONDA AUTOS,VENTAS,Observaciones preventivas,Observación preventiva de conducta,3,3,Jefe de SST
Abril,CORPORATIVO,MARKETING,Observaciones preventivas,Reporte de actos y condiciones inseguras,1,1,Médico ocupacional
Abril,CORPORATIVO,ALMACEN,Observaciones preventivas,Reporte de actos y condiciones inseguras,3,3,Médico ocupacional
Abril,HONDA MOTOS,HONDA MOTOS,Observaciones preventivas,Reporte de actos y condiciones inseguras,3,2,Supervisor de área
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,Observaciones preventivas,Reporte de actos y condiciones inseguras,3,3,Jefe de SST
Mayo,GENERAL,GENERAL,Inspecciones,Inspección planeada de taller,1,1,CSST
Mayo,HONDA AUTOS,POSVENTA,Inspecciones,Inspección planeada de taller,3,1,CSST
Mayo,CORPORATIVO,ALMACEN,Inspecciones,Inspección planeada de taller,1,0,Jefe de SST
Mayo,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección planeada de taller,2,2,CSST
Mayo,CORPORATIVO,ALMACEN,Inspecciones,Inspección de equipos de emergencia,1,1,Médico ocupacional
Mayo,HONDA MOTOS,HONDA MOTOS,Inspecciones,Inspección de equipos de emergencia,2,1,Jefe de SST
Mayo,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección de equipos de emergencia,1,1,Jefe de SST
Mayo,HONDA AUTOS,OPERACIONES,Inspecciones,Inspección de equipos de emergencia,3,3,Jefe de SST
Mayo,CORPORATIVO,MARKETING,Inspecciones,Inspección preoperacional de montacargas,3,2,Supervisor de área
