mes,area,subarea,tema,programadas,ejecutadas,trabajadores_convocados,trabajadores_capacitados,trabajadores_aprobados,horas_dictadas
Julio,GENERAL,GENERAL,Uso correcto de EPP,2,2,17,15,13,1.7
Julio,CORPORATIVO,MARKETING,"IPERC, actos y condiciones subestándar",2,1,22,19,16,1.5
Julio,HONDA AUTOS,VENTAS,Riesgos químicos,3,2,71,64,51,1.9
Julio,HONDA CORPORATIVO,HONDA CORPORATIVO,Uso correcto de EPP,2,2,18,16,12,1.2
Agosto,GENERAL,GENERAL,Cuidado de manos,3,2,19,14,12,3.0
Agosto,HONDA AUTOS,POSVENTA,Protección auditiva,1,1,71,57,51,2.7
Agosto,HONDA CORPORATIVO,HONDA CORPORATIVO,"IPERC, actos y condiciones subestándar",1,1,22,20,17,1.5
Agosto,HONDA MOTOS,HONDA MOTOS,Protección auditiva,3,3,17,13,10,1.0
Agosto,HONDA AUTOS,VENTAS,Cuidado de manos,2,2,75,54,48,2.4
Setiembre,HONDA CORPORATIVO,HONDA CORPORATIVO,Ergonomía y pausas activas,2,2,27,26,22,2.8
Setiembre,HONDA MOTOS,HONDA MOTOS,Ergonomía y pausas activas,2,2,36,25,23,2.7
Setiembre,CORPORATIVO,ALMACEN,"IPERC, actos y condiciones subestándar",1,1,39,29,28,2.4
Setiembre,HONDA AUTOS,OPERACIONES,Protección auditiva,3,3,45,40,35,2.9
Setiembre,CORPORATIVO,MARKETING,Cuidado de manos,2,2,8,6,5,2.2
Octubre,CORPORATIVO,ALMACEN,Protección auditiva,2,2,40,29,28,2.3
Octubre,HONDA AUTOS,POSVENTA,Primeros auxilios,2,2,72,64,63,2.7
Octubre,CORPORATIVO,MARKETING,Manejo manual de cargas e higiene postural,1,1,13,11,9,2.9
Octubre,HONDA MOTOS,HONDA MOTOS,Protección auditiva,1,1,32,26,21,2.3
Octubre,HONDA AUTOS,OPERACIONES,"IPERC, actos y condiciones subestándar",3,3,34,32,28,1.8
Noviembre,CORPORATIVO,ALMACEN,Cuidado de manos,3,3,30,22,19,1.9
Noviembre,HONDA AUTOS,VENTAS,Uso correcto de EPP,2,2,36,28,24,2.3
Noviembre,HONDA MOTOS,HONDA MOTOS,"IPERC, actos y condiciones subestándar",1,0,39,36,34,1.3
Noviembre,HONDA AUTOS,POSVENTA,Cuidado de manos,2,2,69,59,50,2.6
Noviembre,HONDA AUTOS,OPERACIONES,Primeros auxilios,3,3,41,29,24,2.2
Diciembre,HONDA CORPORATIVO,HONDA CORPORATIVO,Cuidado de manos,1,0,23,18,17,2.0
Diciembre,CORPORATIVO,MARKETING,Protección auditiva,2,2,9,6,5,2.4
Diciembre,GENERAL,GENERAL,Ergonomía y pausas activas,2,2,26,21,19,2.3
Diciembre,HONDA AUTOS,OPERACIONES,Manejo manual de cargas e higiene postural,3,2,41,33,28,1.4
Diciembre,CORPORATIVO,ALMACEN,Riesgos químicos,3,3,45,41,35,2.7
