mes,area,actividad,programado,ejecutado,responsable
Febrero,HONDA MOTOS,Participación de jefaturas en inspecciones,2,1,Supervisor
Febrero,HONDA MOTOS,Charla de seguridad dictada por supervisor,1,1,Jefatura de área
Febrero,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,1,0,Jefatura de área
Febrero,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),3,3,Jefatura de área
Febrero,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,1,1,Gerencia
Febrero,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,1,1,Jefatura de área
Febrero,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,2,Supervisor
Febrero,CORPORATIVO,Visita de gerencia a instalaciones (SST),3,3,Jefatura de área
Febrero,CORPORATIVO,Participación de jefaturas en inspecciones,2,2,Jefatura de área
Febrero,CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Supervisor
Febrero,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Supervisor
Febrero,GENERAL,Visita de gerencia a instalaciones (SST),1,0,Supervisor
Febrero,GENERAL,Participación de jefaturas en inspecciones,2,2,Jefatura de área
Febrero,GENERAL,Charla de seguridad dictada por supervisor,1,0,Jefatura de área
Febrero,GENERAL,Reunión mensual de seguridad con la línea de mando,1,1,Supervisor
Marzo,HONDA AUTOS,Visita de gerencia a instalaciones (SST),3,2,Jefatura de área
Marzo,HONDA AUTOS,Participación de jefaturas en inspecciones,3,2,Gerencia
Marzo,HONDA AUTOS,Charla de seguridad dictada por supervisor,1,1,Gerencia
Marzo,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,2,2,Gerencia
Marzo,HONDA MOTOS,Visita de gerencia a instalaciones (SST),1,1,Supervisor
Marzo,HONDA MOTOS,Participación de jefaturas en inspecciones,2,2,Gerencia
Marzo,HONDA MOTOS,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Marzo,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
Marzo,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),3,3,Gerencia
Marzo,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Supervisor
Marzo,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,1,0,Gerencia
Marzo,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
Marzo,CORPORATIVO,Visita de gerencia a instalaciones (SST),2,2,Supervisor
Marzo,CORPORATIVO,Participación de jefaturas en inspecciones,2,1,Supervisor
Marzo,CORPORATIVO,Charla de seguridad dictada por supervisor,2,2,Gerencia
Marzo,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Marzo,GENERAL,Visita de gerencia a instalaciones (SST),1,0,Jefatura de área
Marzo,GENERAL,Participación de jefaturas en inspecciones,1,1,Supervisor
Marzo,GENERAL,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Marzo,GENERAL,Reunión mensual de seguridad con la línea de mando,2,2,Supervisor
Abril,HONDA AUTOS,Visita de gerencia a instalaciones (SST),1,1,Supervisor
Abril,HONDA AUTOS,Participación de jefaturas en inspecciones,1,0,Gerencia
Abril,HONDA AUTOS,Charla de seguridad dictada por supervisor,2,1,Gerencia
Abril,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Abril,HONDA MOTOS,Visita de gerencia a instalaciones (SST),3,3,Gerencia
Abril,HONDA MOTOS,Participación de jefaturas en inspecciones,2,2,Supervisor
Abril,HONDA MOTOS,Charla de seguridad dictada por supervisor,1,0,Jefatura de área
Abril,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,3,2,Gerencia
Abril,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),1,1,Gerencia
Abril,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Supervisor
Abril,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Abril,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Gerencia
Abril,CORPORATIVO,Visita de gerencia a instalaciones (SST),2,2,Gerencia
Abril,CORPORATIVO,Participación de jefaturas en inspecciones,2,2,Jefatura de área
Abril,CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Gerencia
Abril,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,1,0,Jefatura de área
Abril,GENERAL,Visita de gerencia a instalaciones (SST),1,1,Gerencia
Abril,GENERAL,Participación de jefaturas en inspecciones,3,3,Gerencia
Abril,GENERAL,Charla de seguridad dictada por supervisor,2,2,Gerencia
Abril,GENERAL,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Mayo,HONDA AUTOS,Visita de gerencia a instalaciones (SST),1,1,Jefatura de área
Mayo,HONDA AUTOS,Participación de jefaturas en inspecciones,2,1,Gerencia
Mayo,HONDA AUTOS,Charla de seguridad dictada por supervisor,2,2,Gerencia
Mayo,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
Mayo,HONDA MOTOS,Visita de gerencia a instalaciones (SST),3,2,Gerencia
Mayo,HONDA MOTOS,Participación de jefaturas en inspecciones,3,3,Gerencia
Mayo,HONDA MOTOS,Charla de seguridad dictada por supervisor,3,2,Jefatura de área
Mayo,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
Mayo,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),3,3,Jefatura de área
Mayo,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Jefatura de área
Mayo,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Gerencia
Mayo,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Jefatura de área
Mayo,CORPORATIVO,Visita de gerencia a instalaciones (SST),1,1,Jefatura de área
Mayo,CORPORATIVO,Participación de jefaturas en inspecciones,1,0,Jefatura de área
Mayo,CORPORATIVO,Charla de seguridad dictada por supervisor,1,1,Gerencia
Mayo,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
Mayo,GENERAL,Visita de gerencia a instalaciones (SST),1,0,Jefatura de área
Mayo,GENERAL,Participación de jefaturas en inspecciones,3,3,Jefatura de área
Mayo,GENERAL,Charla de seguridad dictada por supervisor,2,2,Gerencia
Mayo,GENERAL,Reunión mensual de seguridad con la línea de mando,3,3,Supervisor
Junio,HONDA AUTOS,Visita de gerencia a instalaciones (SST),2,2,Gerencia
Junio,HONDA AUTOS,Participación de jefaturas en inspecciones,2,1,Supervisor
Junio,HONDA AUTOS,Charla de seguridad dictada por supervisor,1,1,Gerencia
Junio,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Junio,HONDA MOTOS,Visita de gerencia a instalaciones (SST),1,1,Gerencia
Junio,HONDA MOTOS,Participación de jefaturas en inspecciones,2,2,Supervisor
Junio,HONDA MOTOS,Charla de seguridad dictada por supervisor,3,3,Gerencia
Junio,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,1,1,Jefatura de área
Junio,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),1,0,Jefatura de área
Junio,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Jefatura de área
Junio,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Gerencia
Junio,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Junio,CORPORATIVO,Visita de gerencia a instalaciones (SST),1,1,Gerencia
Junio,CORPORATIVO,Participación de jefaturas en inspecciones,1,1,Gerencia
Junio,CORPORATIVO,Charla de seguridad dictada por supervisor,1,1,Supervisor
Junio,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,3,Jefatura de área
Junio,GENERAL,Visita de gerencia a instalaciones (SST),2,2,Jefatura de área
Junio,GENERAL,Participación de jefaturas en inspecciones,3,3,Gerencia
Junio,GENERAL,Charla de seguridad dictada por supervisor,2,1,Jefatura de área
Junio,GENERAL,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
Julio,HONDA AUTOS,Visita de gerencia a instalaciones (SST),1,1,Gerencia
Julio,HONDA AUTOS,Participación de jefaturas en inspecciones,2,2,Gerencia
Julio,HONDA AUTOS,Charla de seguridad dictada por supervisor,1,1,Supervisor
Julio,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,2,2,Gerencia
Julio,HONDA MOTOS,Visita de gerencia a instalaciones (SST),2,2,Jefatura de área
Julio,HONDA MOTOS,Participación de jefaturas en inspecciones,3,3,Gerencia
Julio,HONDA MOTOS,Charla de seguridad dictada por supervisor,3,3,Gerencia
Julio,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,3,3,Jefatura de área
Julio,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),2,2,Supervisor
Julio,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Supervisor
Julio,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,1,0,Supervisor
Julio,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,2,Gerencia
Julio,CORPORATIVO,Visita de gerencia a instalaciones (SST),2,2,Gerencia
Julio,CORPORATIVO,Participación de jefaturas en inspecciones,3,2,Supervisor
Julio,CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Julio,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Supervisor
Julio,GENERAL,Visita de gerencia a instalaciones (SST),3,3,Gerencia
Julio,GENERAL,Participación de jefaturas en inspecciones,2,2,Gerencia
Julio,GENERAL,Charla de seguridad dictada por supervisor,1,0,Supervisor
Julio,GENERAL,Reunión mensual de seguridad con la línea de mando,1,0,Supervisor
Agosto,HONDA AUTOS,Visita de gerencia a instalaciones (SST),3,3,Jefatura de área
Agosto,HONDA AUTOS,Participación de jefaturas en inspecciones,3,2,Supervisor
Agosto,HONDA AUTOS,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Agosto,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,2,2,Gerencia
Agosto,HONDA MOTOS,Visita de gerencia a instalaciones (SST),3,3,Supervisor
Agosto,HONDA MOTOS,Participación de jefaturas en inspecciones,3,2,Jefatura de área
Agosto,HONDA MOTOS,Charla de seguridad dictada por supervisor,1,1,Jefatura de área
Agosto,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Agosto,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),2,1,Jefatura de área
Agosto,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Jefatura de área
Agosto,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,1,1,Supervisor
Agosto,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,1,1,Jefatura de área
Agosto,CORPORATIVO,Visita de gerencia a instalaciones (SST),2,1,Supervisor
Agosto,CORPORATIVO,Participación de jefaturas en inspecciones,1,1,Jefatura de área
Agosto,CORPORATIVO,Charla de seguridad dictada por supervisor,1,1,Gerencia
Agosto,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,2,Jefatura de área
Agosto,GENERAL,Visita de gerencia a instalaciones (SST),3,3,Gerencia
Agosto,GENERAL,Participación de jefaturas en inspecciones,1,1,Jefatura de área
Agosto,GENERAL,Charla de seguridad dictada por supervisor,1,0,Jefatura de área
Agosto,GENERAL,Reunión mensual de seguridad con la línea de mando,2,2,Jefatura de área
Setiembre,HONDA AUTOS,Visita de gerencia a instalaciones (SST),1,1,Jefatura de área
Setiembre,HONDA AUTOS,Participación de jefaturas en inspecciones,3,2,Jefatura de área
Setiembre,HONDA AUTOS,Charla de seguridad dictada por supervisor,2,2,Supervisor
Setiembre,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Setiembre,HONDA MOTOS,Visita de gerencia a instalaciones (SST),2,2,Gerencia
Setiembre,HONDA MOTOS,Participación de jefaturas en inspecciones,1,1,Gerencia
Setiembre,HONDA MOTOS,Charla de seguridad dictada por supervisor,2,2,Supervisor
Setiembre,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,2,2,Supervisor
Setiembre,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),3,2,Gerencia
Setiembre,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,2,1,Gerencia
Setiembre,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Setiembre,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Jefatura de área
Setiembre,CORPORATIVO,Visita de gerencia a instalaciones (SST),2,1,Supervisor
Setiembre,CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Supervisor
Setiembre,CORPORATIVO,Charla de seguridad dictada por supervisor,2,1,Jefatura de área
Setiembre,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Setiembre,GENERAL,Visita de gerencia a instalaciones (SST),3,3,Supervisor
Setiembre,GENERAL,Participación de jefaturas en inspecciones,2,1,Jefatura de área
Setiembre,GENERAL,Charla de seguridad dictada por supervisor,3,3,Supervisor
Setiembre,GENERAL,Reunión mensual de seguridad con la línea de mando,3,2,Gerencia
Octubre,HONDA AUTOS,Visita de gerencia a instalaciones (SST),2,1,Gerencia
Octubre,HONDA AUTOS,Participación de jefaturas en inspecciones,1,1,Gerencia
Octubre,HONDA AUTOS,Charla de seguridad dictada por supervisor,1,1,Jefatura de área
Octubre,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,1,1,Supervisor
Octubre,HONDA MOTOS,Visita de gerencia a instalaciones (SST),1,1,Supervisor
Octubre,HONDA MOTOS,Participación de jefaturas en inspecciones,1,0,Supervisor
Octubre,HONDA MOTOS,Charla de seguridad dictada por supervisor,2,2,Supervisor
Octubre,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,3,2,Jefatura de área
Octubre,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),3,3,Supervisor
Octubre,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,2,2,Gerencia
Octubre,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,3,2,Gerencia
Octubre,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,3,Gerencia
Octubre,CORPORATIVO,Visita de gerencia a instalaciones (SST),1,1,Gerencia
Octubre,CORPORATIVO,Participación de jefaturas en inspecciones,2,2,Supervisor
Octubre,CORPORATIVO,Charla de seguridad dictada por supervisor,2,2,Supervisor
Octubre,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,1,Jefatura de área
Octubre,GENERAL,Visita de gerencia a instalaciones (SST),3,3,Jefatura de área
Octubre,GENERAL,Participación de jefaturas en inspecciones,2,1,Gerencia
Octubre,GENERAL,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Octubre,GENERAL,Reunión mensual de seguridad con la línea de mando,2,2,Supervisor
Noviembre,HONDA AUTOS,Visita de gerencia a instalaciones (SST),2,2,Jefatura de área
Noviembre,HONDA AUTOS,Participación de jefaturas en inspecciones,2,1,Jefatura de área
Noviembre,HONDA AUTOS,Charla de seguridad dictada por supervisor,2,2,Gerencia
Noviembre,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,3,2,Supervisor
Noviembre,HONDA MOTOS,Visita de gerencia a instalaciones (SST),2,2,Jefatura de área
Noviembre,HONDA MOTOS,Participación de jefaturas en inspecciones,1,1,Jefatura de área
Noviembre,HONDA MOTOS,Charla de seguridad dictada por supervisor,3,2,Supervisor
Noviembre,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,3,2,Gerencia
Noviembre,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),2,1,Jefatura de área
Noviembre,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,2,Supervisor
Noviembre,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,2,2,Jefatura de área
Noviembre,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Gerencia
Noviembre,CORPORATIVO,Visita de gerencia a instalaciones (SST),3,3,Jefatura de área
Noviembre,CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Jefatura de área
Noviembre,CORPORATIVO,Charla de seguridad dictada por supervisor,1,1,Supervisor
Noviembre,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,1,0,Supervisor
Noviembre,GENERAL,Visita de gerencia a instalaciones (SST),1,1,Gerencia
Noviembre,GENERAL,Participación de jefaturas en inspecciones,3,3,Supervisor
Noviembre,GENERAL,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Noviembre,GENERAL,Reunión mensual de seguridad con la línea de mando,2,2,Jefatura de área
Diciembre,HONDA AUTOS,Visita de gerencia a instalaciones (SST),2,1,Jefatura de área
Diciembre,HONDA AUTOS,Participación de jefaturas en inspecciones,2,2,Supervisor
Diciembre,HONDA AUTOS,Charla de seguridad dictada por supervisor,1,0,Supervisor
Diciembre,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,2,2,Gerencia
Diciembre,HONDA MOTOS,Visita de gerencia a instalaciones (SST),2,2,Jefatura de área
Diciembre,HONDA MOTOS,Participación de jefaturas en inspecciones,1,1,Supervisor
Diciembre,HONDA MOTOS,Charla de seguridad dictada por supervisor,3,3,Supervisor
Diciembre,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,2,1,Gerencia
Diciembre,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),3,3,Supervisor
Diciembre,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,1,1,Gerencia
Diciembre,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,3,3,Supervisor
Diciembre,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
Diciembre,CORPORATIVO,Visita de gerencia a instalaciones (SST),3,2,Jefatura de área
Diciembre,CORPORATIVO,Participación de jefaturas en inspecciones,1,0,Supervisor
Diciembre,CORPORATIVO,Charla de seguridad dictada por supervisor,2,2,Supervisor
Diciembre,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,3,3,Supervisor
Diciembre,GENERAL,Visita de gerencia a instalaciones (SST),1,1,Jefatura de área
Diciembre,GENERAL,Participación de jefaturas en inspecciones,1,1,Supervisor
Diciembre,GENERAL,Charla de seguridad dictada por supervisor,3,3,Jefatura de área
Diciembre,GENERAL,Reunión mensual de seguridad con la línea de mando,1,1,Gerencia
